,color,company,heat,ingredients,link,name,pour,site,smell,taste,taste_rating,taste_rating_max,heat_rating,heat_rating_max
28,,,,,https://www.instagram.com/p/BVajOz4F0GO/,,,,,,,,,
29,,: Pablo Flavored Heat ," This sauce does give you a decent kick from the habaneros as I would give this a 5/10 on heat, as it delivers a perfect habanero kick, that will hit immedicably and linger for a while around your entire mouth and tongue. ",": Habanero Peppers, Roasted Pineapple, Garlic, Onions, Star Anise, Cinnamon, Distilled Vinegar, Canola Oil, White Pepper, Sugar, Sea Salt, and Water. ",https://www.instagram.com/p/BVSdjnAFyfT/,: Roasted Pineapple ,: A thin sauce with some big thick chunks of what I assume to be Pineapple and Habanero mixed into the concoction. ,: www.pabloflavoredheat.com ,": An interesting aroma, as you get a very savory aroma from the Roasted Pineapple in the forefront of everything else, which gives off a roasted citrusy sweetness, while the Habanero peppers, Garlic, and Onion come into play in the upper middle ground, delivering an additional savory citrus aroma, while the Star Anise and Cinnamon are only slightly notable in the background. ",": This sauce is much more acidic then I thought it was going to be, as you instantly get the roasted pineapple, and habanero peppers hitting your throat, which combines with the vinegar and canola oil to deliver a citrusy sweet acidic kick to your throat.  The roasted pineapple has a delicious flavor and combines well with the habanero peppers, but the vinegar level needs to be cut down a bit, so you can really enjoy the flavor combination of the pineapple and habanero.  The Star Anise and Cinnamon help to create a unique level to the sauce, while the garlic and onions help balance it out.  I believe this sauce would be excellent as a chicken marinade, or as a marinade for burgers.  I would rate this sauce a 6.5/10 on flavor. ",6.5,10.0,5.0,10.0
30,,: Corine’s Cuisine ," This is an extremely mild sauce, as the pepper itself is the 6th ingredient on the list, I would give this a 1.5/10 on heat as you will get just a tiny tingle on the tongue.  ",": Pineapple, Mango, Cilantro, Honey, Lime Juice, Serrano Pepper, Extra Virgin Olive Oil, Garlic, Mint, Kosher Salt. ",https://www.instagram.com/p/BU98IiWF91m/,: Pineapple & Mango Hot Pepper Sauce ,": A very thick and chunky sauce, as it comes in a wide bottle for easy pouring. ",: www.corinescuisine.com ,": Believe it or not, the first thing I smell is the Extra Virgin Olive oil, it’s almost like walking into a gourmet olive oil store and smelling the room.  It’s very potent.  Then you can start to pick up the pineapple and mango in the middle ground, along with a touch of the cilantro and Serrano lurking in the background. ",": A very complex and beautiful range of flavors, instantly the extra virgin olive oil coats your entire mouth surface, as the pineapple and mango hit first, giving this light fruity sensation that mixes well with the cilantro and honey.  The Cilantro boosts the savory flavors, as well as the Garlic.  The Serrano peppers come into play in the middle ground as it delivers that rich earthy flavor.  The lime juice helps cut the Extra Virgin olive oil from being too potent.  I really enjoy how the mango and pineapple are not overly visible in the sauce, as sometimes the pineapple or mango could be too strong but it fits in perfectly fine in this sauce.  This is a delicious gourmet sauce that would be excellent on Lamb, BBQ, or used as a dip.  I would give this sauce an easy 9/10 on flavor. ",9.0,10.0,1.5,10.0
31,,: Caldo Sauce ," This sauce has seven peppers, and six of them are all considered super-hot in my books, as this sauce will give you a blistering heat. It will instantly hit you,creep up on you, and linger for a while, as the heat completely covers every sense of your mouth. I would rate this a 9.5/10 on heat.  ",": Peppers (Habanero, Bhut Jolokia, Carolina Reaper, Trinidad Scoprion, Apocalypse Scorpion, Genghis Khan Brain, Jalapeno), Apple Cider Vinegar, Apple Cider, Sweet Potato, Salt. ",https://www.instagram.com/p/BUzzqh3l3UI/,: Courage ,": An easy pour out of the bottle, as the sauce is not chunky, but you can see the ingredients all together, and the potato helps thicken the sauce.  ",: www.caldosauce.com ,": This aroma is a scary pepper party. I can smell the habanero and Carolina reaper in the forefront, as they give off that super potent sweet and citrus aroma, while the bhut jolokia and jalapenos help to give a more earthy and smoky aroma.  Lastly, all the way in the background you can pick up little apple notes from the apple cider and vinegar. ",": BOOM!  Wowzers! This is an extremely wonderful and tasty super-hot sauce as you instantly get the sweet fruitiness from the peppers in the forefront, along with notes of the apple cider and potato, but then instantly get smacked in the face by the instant and creeping heat from the peppers.  The middle ground delivers a savory and tangy flavor that compliments the sauce well, as the background hits you with the pepper-forward flavor and sweetness one last time, as you swallow the sauce.  This sauce has a tasty full-bodied mouth-feel which goes very well with this sauce.  This would be a delicious gourmet super-hot table sauce that could be used for anything that needs a good kick.  I would rate this sauce an easy 10/10 on flavor, as the combination of peppers, apple cider, and sauce consistency is truly unique and gourmet. ",10.0,10.0,9.5,10.0
32,,: Butterfly Bakery of Vermont ," There is a good amount of jalapenos and seeds crammed into this sauce, as you will get an instant tongue burn that dissipates quickly, as I would give this sauce a 3/10 on heat.  ",": Vermont Grown Chili Peppers (Jalapenos), Organic White Vinegar, Heady Topper IPA, Salt. ",https://www.instagram.com/p/BUkIL8flPPg/,: Heady Pepper Hot Sauce ,": A easy and smooth pour, this sauce is not chunky but it is on a medium pour.  The sauce is not loose, but not thick.  It is almost the perfect standard for a “middle” consistency. ",: www.butterflybakeryvt.com ,": A very simple sauce in terms of aroma, as you instantly get the combination of a heavy jalapeno aroma, as its extremely pepper-forward but then right underneath you get the Heady Topper IPA beer that delivers an incredible hoppy aroma.  This sauce has such a simple ingredient list that you only can really smell a lot of jalapenos and a lot of this delicious smelling India Pale Ale. ",": A very simple yet incredibly unique and different sauce, as you instantly taste the IPA in the forefront as you get this standard IPA beer taste, but then you shift to the earthy and savory flavors of the jalapenos as the combine well with the beer, as the hops start to shine and mix in all together to create a valid and unique flavor combination.  Most hot sauce companies, when they mix beer with their sauces they use several ingredients, while this sauce only really shines on the peppers and the beer to deliver a pepper-forward and beer tasting sauce that truly shines on simplicity and flavor.  This sauce would go excellent as a chicken marinade over the grill.  I will give this sauce a 8.5/10 on flavor as it delivers excellent flavor if you enjoy IPA beer and jalapenos. ",8.5,10.0,3.0,10.0
33,,: Pepplish Provisions ," The habanero peppers and ghost peppers combine together to give an instant and lingering burn around the entire mouth and tongue, as I’d give this a 6/10 on heat.  ",": Apples, Apple Cider Vinegar, Onions, Lime Juice, Cane Sugar, Sea Salt, Cilantro, Habanero Peppers, Ghost Peppers, Lime Peels, Garlic. ",https://www.instagram.com/p/BUUntiNl6Ic/,: Apple Cilantro Lime Hot Sauce ,: A chunky but smooth consistency as the sauce contains only little chunks.  This has an extremely salsa verde similarity when it comes to consistency. ,: www.pepplish.com ,": Believe it or not, this sauce has a very mild aroma.  You pick up the cilantro in the forefront with the apples and apple cider vinegar following shortly behind.  The middle ground features the lime juice, onions and garlic, along with the sweetness of the habanero peppers lurking in-between the middle ground and background.  The ghost peppers are not very noticeable. ",": An extremely tangy and acidic sauce as you get the apples, and apple cider vinegar combining with the cilantro to give a tangy, semi-sweet and savory flavor that also combines with the habanero peppers to help deliver that acidic sweetness.  The ghost peppers combine well with the garlic, onions and lime to deliver a smoky limeish flavor in the middle ground.  This sauce is a little too acidic for my liking, but the apple cider vinegar was an obvious choice to go with the apples.  This sauce has an amazing flavor that I believe a lot of people could enjoy, but this is just not my go to.  This sauce would be excellent on Spanish cuisine, as well as on white meats.  I would rate this an 8/10 on flavor, as I think the sauce would be much stronger if the acidity was cut just a bit more, but overall a fantastic gourmet sauce. ",8.0,10.0,6.0,10.0
34,,: Purple Pam Hot Sauce ," The combination of jalapenos and serrano peppers help create a good instant heat while the slight bit of ghost peppers used help give that lingering burn that covers the entire tongue, 5.5/10 for heat. ",": Tomatillos, Jalapeno Peppers, Serrano Peppers, Vinegar, Kosher Salt, Garlic, Cilantro, Onions, Water, Lime Juice, Ghost Peppers, Olive Oil, and Natural Spices. ",https://www.instagram.com/p/BUH36rbFkNs/,: Toxie’s Elixir Hot Sauce ,": A creamy consistency as well as a medium level of chunkiness to the sauce, as you can really see some chunks of peppers and other ingredients, as well as some seeds.  I believe the combination of olive oil, vinegar, and water helps to create that creamy consistency. ",: https://squareup.com/market/purple-pepper-hot-sauce ,": An interesting aroma, as you get the tomatillos, jalapenos, serrano peppers, and cilantro in the forefront giving off an acidic earthy and mildly sweet aroma, while in the background you can pick up a slight smokiness from the ghost peppers, along with the savory garlic, onion, and spices to help round out the sauce.  This is more on the savory end on the aroma, rather than on the sweet end. ",": This is an extremely earthy and savory sauce with a very mild sweetness.  The tomatillos and jalapenos and serrano peppers hit instantly as you get this earthy and sour bite, as well as a mild sweetness from the peppers.  Then the cilantro, onion, and garlic come into play as they create a savory mood.  This sauce had a very floral and herbaceous tone throughout the entire flavor journey.  The ghost peppers were only slightly noticeable but mainly helped to give a nice lingering burn.  In terms of acidity level, it’s a perfect tangy sauce.  This is a delicious and creamy green sauce that would go great on nearly anything.  Strong 9.5/10 on flavor. ",9.5,10.0,5.5,10.0
35,,: Jackal Sauce LLC ," This is a mild/medium sauce as you get the red jalapenos, chipotle peppers, and arbol chilies all attacking different parts of your mouth and tongue.  I would give this a 4/10 on heat as anyone could enjoy it.  ",": Distilled Vinegar, Red Jalapenos, Water, Carrots, Garlic, Chipotle Peppers, Arbol Peppers, Kosher Salt, and Onion Powder.  This product is Gluten-Free, and Vegan friendly. ",https://www.instagram.com/p/BT9v0yIFISb/,: Triple Red Pepper ,": A thick syrup/ketchup like consistency as it delivers a thick but easy to pour sauce, with no chunks, but you can still see strings of the ingredients. ",:www.jackalsauce.com ,": A very delicious pepper forward aroma, as you instantly pick up the Red Jalapenos in the forefront, as they carry the bulk of the aroma.  You get this sweet earthy aroma from the jalapenos, while the Chipotle Peppers, Garlic and Arbol Peppers mix together in the middle ground to deliver a smoky and savory edge.  The vinegar is only slightly present in the aroma, as well as the onion powder. ",": This is a beautifully simple hot sauce, as the sauce instantly gives you this satisfying thick flavor as it coats your entire mouth.  Right in the forefront you taste the Red Jalapenos as they deliver this semi-sweet delicious crispy flavor, that subsides as as you swallow the sauce you get instantly hit with the chipotle peppers as they give a nice smoky/sweet flavor, along with the arbol peppers which give a bit of a savory nutty flavor that combines really well with the garlic and onion powder.  The carrot helped to thicken the sauce up a bit, while the vinegar was only VERY minor in the sauce.  This is a fantastic table sauce that would go great on Beef especially burgers, as well as on Seafood and Pizza.  I am going to give this sauce an excellent 10/10 on flavor as it truly delivers a simple yet refreshingly tasty sauce. ",10.0,10.0,4.0,10.0
36,,,,,https://www.instagram.com/p/BTuBI4Wli0_/,,,,,,,,,
37,,: HotButSweet LLC ," A mild habanero sauce, as anyone would be able to enjoy this, the habaneros give you an instant tongue burn that lingers for a while, as the other peppers help out 3.5/10 on heat.  ",": Crushed Pineapple, Mango, Onion, Cider Vinegar, Beer, Tomatoes, Organic Agave Syrup, Serrano, Lime Juice, Tequila, Fresh Garlic, Chipotles in Adobo Sauce, Smoked Salt. (Uhm, where is the habaneros?) ",https://www.instagram.com/p/BTpCCZQlPmy/,: Pineapple Mango Habanero Hot Sauce ,": A very thin sauce, it was hard to take the picture because I was afraid of making a mess!  It’s a bit too liquidous for my liking, but it could end up being beneficial for this type of sauce. ",: www.hotbutsweet.com ,":  A pleasant aroma, as you get a nice sweet smelling sauce but not overbearingly sweet.  You instantly pick up on the crush pineapple and mango in the forefront, as you would expect from a mango pineapple sauce.  This gives the sauce a nice citrus and smooth aroma, that mixes well with what I want to believe is habaneros in the sauce. Then in the background you get the onion, tomatoes, agave, and garlic as they give this nice savory after tone aroma. ",": As I taste the sauce, I can promise you that there are habaneros in this sauce, as you instantly taste the pineapple, habanero, and mango combination as it delivers a perfect balance between sweet and savory with the rest of the ingredients.  This sauce is actually very delicious. The garlic and onion lurk in the background, but you can taste the tomatoes, chipotle, and a slight beer note in the middle ground, while the sweetness hits you in the front.  This would be excellent as a marinade for grilled chicken, or any other summer time feast.  I would rate this sauce a 7.5/10 on flavor as it delivers an excellent mango habanero sauce, but I would personally like to see the sauce thickened up, and maybe a touch more habanero in the sauce. ",7.5,10.0,3.5,10.0
38,,: Tia Finas Products ," The heat from the jalapenos is extremely mild as you get a flat mid-palate burn from the jalapenos that gives a slow lingering burn that’s extremely mild and can be used by all.  I would give this salsa a 1/10 on heat, but for someone who is not a chili head, this would be a 3/10 on heat. ",": Tomatoes, Jalapenos, Cilantro, Garlic, Natural Sea Salt, and Citric Acid. ",https://www.instagram.com/p/BTZk1XQFPNa/,: Tia Fina’s Salsa Spicy with Cilantro ,": In the terms of a salsa consistency, this salsa is not chunky compared to most salsas, but there is still a good level and degree of chunks in the salsa, as they are more miniscule chunks.  The salsa itself has a beautiful color, along with its simple ingredient list. ",: www.tiafinasproducts.com ,": A very simple yet tasteful aroma as you can instantly pick up the tomatoes, along with the cilantro in the forefront.  The jalapenos are kind of in the middle ground in terms of aroma as you can kind of pick out that earthy and floral aroma that you can easily spot from a jalapeno, along with the hint of garlic in the background. ",": This salsa is incredibly smooth and refreshing.  This is the type of salsa I would put outside with a bag of tortilla chips on a nice spring afternoon, while spending time with friends or family.  You immediately get the tomatoes in the forefront as you should with any salsa, as you get this smooth tomato base dominate salsa, along with the jalapenos and cilantro in the middle ground, giving you a delicious and herbaceous taste on the tongue, as the garlic comes into play in the background, giving a hint of a savory after thought.  There is only a hint of sea salt, as this is not an overly salty salsa at all.  This is an incredibly refreshing mildly spicy salsa that could be enjoyed by all, as I would give it an 8/10 on flavor as it hits the mark for being a refreshing and simple salsa. ",8.0,10.0,1.0,10.0
39,,,,,https://www.instagram.com/p/BTNGFoClu_G/,,,,,,,,,
40,,: Chicago Johnny’s ," This is a mild-medium level sauce, as the Serrano's pack a nice heat along with a little support from the poblanos, as this sauce gives you a gentle tingle on the tongue and around the mouth, and then quickly fades.  I would rate this a 3/10 on heat.  ",": Water, Chillis (Serrano & Poblano), Red Wine Vinegar, White Vinegar, Portabella Mushrooms, Garlic, Spices, Sea Salt. ",https://www.instagram.com/p/BTHdKvlFBHf/,: Dark Alley Hot Sauce ,": A chunky sauce that has a smooth and easy pour.  You can really see the peppers, and mushrooms, and garlic all lurking in the sauce along with some hidden spices. ",: www.chicagojohnnys.com ,": The first thing you smell is the richness of the serrano and poblano peppers in the forefront, as they give off that thick pungent and earthy aroma.  The Serrano peppers give a brightness to the aroma while the poblano kind of lurks behind it.  Then, you get the garlic and spices along with the red wine vinegar, as the vinegar gives that mild zip up your nostrils. ",": Right out of the get-go if you like strong vinegar based sauces, you are going to love this.  If you don’t like vinegar based sauces, then you will not like it.  Right away as the sauce hits the tongue you get this beautiful combination of the red wine vinegar and the earthy sweet Serrano and poblano peppers, as they give this savory and mouthwatering pepper flavor, that combines well with the red wine vinegar, then in the middle ground you get the delicious and fresh portabella mushrooms and the garlic as they help balance the body of the sauce and add some extra flavor, along with the spices that are used create a great combination.  This sauce would be delicious on sausages, used as a marinade, or as they say on the bottle, mix with taco meat.  I would give this sauce a solid 7.8/10 as it would be an 8/10 if there was just a touch less vinegar.  Great sauce! ",7.8,10.0,3.0,10.0
41,,: The Original Italian Hot Sauce ," Extremely mild sauce, as anyone in the entire universe would be able to enjoy this sauce with ease.  1/10 on heat. ",": Water, Distilled Vinegar, Aged Calabrian Chili Peppers, Garlic Powder, Dried Oregano, and Salt. ",https://www.instagram.com/p/BS1d1tilq31/,: The Original Italian Hot Sauce ,": An extremely thin sauce, a little too thin for my liking, as you really need to use the flow restrictor that is provided otherwise you would make a mess and waste sauce.  Kind of disappointed with how thin the sauce is, as its just as thin if not thinner then Tabasco. ",: www.italianhotsauce.com ,": As a vinegar based hot sauce, this sauce has an interesting aroma.  You obviously pick up the distilled vinegar smell, but then you instantly get this unique savory “Italian” kinda smell if that makes sense.  This is the kind of smell you would get when you walk into a pizzeria or a sub shop. ",": As for the flavor of the sauce, this sauce is an extremely mild but tasty vinegar based sauce.  The vinegar is obviously present in the sauce but is in no way overbearing believe it or not.  The Calabrian chili’s are extremely flavorful.  I would have loved to have more of the Calabrian chili’s in the sauce, because it would help add to the flavor, and help thicken the sauce up.  The garlic powder and oregano are also present but come into play in the background.  After trying this on a slice of pizza, I have to say that this is a great condiment for pizza, because it does not mask the flavor of the pizza, but adds to the flavor experience.  This would be great on all things Italian.  I would rate this a 7.5/10 on flavor, as I would really like to see more of those delicious Calabrian chilies’ in the sauce. 
",7.5,10.0,1.0,10.0
42,,: Lazy Soul LLC , This is a very mild/medium habanero sauce as you get a nice tingle on the tongue that anyone would be able to enjoy. I would give this a 3/10 on heat. ,": Mango, Mustard, Distilled Water, Distilled Vinegar, pasteurized 100% Orange Juice, Brown Sugar, Habanero Peppers, Minced Garlic, Spices.  This product is All-Natural, Gluten Free, and has No Preservatives.  ",https://www.instagram.com/p/BSjx7X1lqzi/,: Lazy Soul Hot Sauce ,": A thick sauce but not chunky, as it has an almost creamy texture and pour from the bottle. ",: www.lazysoulusa.com ,": What an interesting aroma, I thought the first thing I would smell would be mango, but it’s the mustard, as you get this thick pungent smell from the mustard, as you get the turmeric and paprika in the forefront from the mustard, along with the minced garlic, toward the background you can pick out the mango and the citrusy habanero.  This is a unique aroma for a sauce and I dig it. ",": This sauce is not lazy at all, as its extremely flavorful.  The texture of this sauce is beautiful.  Right in the front you get smacked with the mango and the citrus sweetness of the habaneros and orange juice, then you are swept away by the tanginess of the mustard and spices along with some savory notes from the garlic, then as you swallow the sauce and finish the journey you are pushed back into the sweetness of the mango and habanero, as you quickly finish off with a VERY mild vinegar zip.  This sauce would be fantastic on almost anything, marinated for chicken, burgers, steak, pizza, eggs.  This sauce gets a 10/10, as they completely exceeded my expectations on a delicious Caribbean sauce.  ",10.0,10.0,3.0,10.0
43,,,,,https://www.instagram.com/p/BSZIfYIlmoJ/,,,,,,,,,
44,,: Pablo Flavored Heat ," This sauce packs a decent number of habaneros, as a whole spoonful of this stuff with give you a moderate burn, but nearly anyone who enjoys a good kick will be able to handle this sauce, as I give it a 5/10 on heat. ",": Habanero Peppers, Peach, Mango, Garlic, Onions, Celery, Ginger, Parsley, Distilled Vinegar, Canola Oil, White Pepper, Sugar, Sea Salt, Water.  This sauce is All-Natural ",https://www.instagram.com/p/BSRcCvNBAfL/,: Peach Mango Hot Sauce ,": A chunky sauce, but has a smooth pour out of the uniquely shaped bottle.  Has a dark yellowish color. ",: www.pabloflavoredheat.com ,": A very light aromatic scent, as you can pick up the peach and mango almost instantaneously, as the habanero peppers fruitiness comes right behind it.  The peach and habanero give the citrusy aroma while thee mango helps give off a smooth finish.  The Garlic and onions come into play in the middle ground, along with the ginger.  I can slightly smell thee parsley and canola oil in the background.  Very light aroma. ",": MMmmm!  This is very yummy.  What is great about this sauce, is that even though it’s a fruit based sauce, it is not overwhelmingly sweet, as you get this amazing savory flavor from the sauce.  Right away you pick up the mango and habanero peppers in the forefront of flavor with the peach trailing right behind, as they mix together with the ginger and sugar to give this very gentle sweetness on the tongue, while the rest of the ingredients come into play afterwards, as the garlic, and onion give that savory vibe, as well as the celery and parsley add that green earthiness  to the sauce.  This sauce would rock as a marinade for chicken, dumped on pizza, bagels, and Spanish dishes.  Strong 9.5/10 on flavor.  Great job. ",9.5,10.0,5.0,10.0
45,,: Volcanic Peppers ," This sauce does have a good amount of heat, as you will get a good kick but it will not be too incredibly overwhelming.  You will get a tongue burn that will linger for a while.  I would give this a 5.5/10 on heat. ",": Ranch Dressing (Soybean Oil, Vinegar, Buttermilk, Water, High Fructose Corn Syrup, Salt) Red Reaper Hot Sauce (Red Hot Chile Peppers, Vinegar, Water, Sugar, Salt, Onion, Carrot and Spices), Garlic ",https://www.instagram.com/p/BSB3OSWhyeU/,: Lava Red Reaper Ranch ,": Not a thick ranch sauce, but has a creamy and smooth pour out of the bottle. ", www.volcanicpeppers.com ,": It smells like a classic Hidden Valley Ranch dressing but with a good spicy hot sauce combined into the sauce.  You can really pick up those red-hot Chile peppers in the smell, along with the thick buttermilk and garlic. ",": This stuff is actually very delicious.  I am shocked and amazed.  This is like a classic ranch dressing as you get that creamy buttermilk ranch flavor, but then you get this PERFECT burn that lingers from the hot sauce.  Doing a whole spoonful of this stuff gave me my favorite level of heat, where it is hot, but not overwhelmingly hot.  I don’t usually review much of anything else besides hot sauce, but you can still get the pepper forward flavor of the red-hot peppers, along with the onion and garlic, this sauce does have a strong garlic flavor which is enjoyable.  I would give this sauce a solid 9/10 for flavor. ",9.0,10.0,5.5,10.0
46,,: Zach’s Wing Sauce ," This sauce is a bit hotter than the other Zach’s wing sauces because of the use of red jalapeno over the typical cayenne, but this sauce is in no way going to be a killer, as this sauce can be used and enjoyed by everyone.  I would give this a 3/10 on heat.  ",": Aged Red Jalapeno Pepper Puree, Distilled White Vinegar, Salt, Sugar, Natural Flavors (Extractives of Lime, Cumin, Garlic). ",https://www.instagram.com/p/BRwEiSpFkjq/,: Sriracha Lime Wing Sauce ,": A smooth and silky pour, as there are no chunks but it does not really matter because you will not be pouring the sauce.  You are going to be spraying it! ",: www.zachswingsauce.com ,": The first thing I smell is the distilled white vinegar, as it immediately has that zippy acidic smell right out of the bottle, but lots of white vinegar is normal for a wing sauce.  Then you get the red jalapenos as they give off that slightly fruity, and earthy undertone, along with a hint of lime that is not overpowering in the slightest, in the background you can pick up a hint of the cumin and garlic but only slightly. ",": This is probably my favorite out of the bunch that I received, as the sauce really coats your mouth.  You instantly get this fresh red jalapeno flavor from the start, as it combines with the lime extractives to give off this tangy and semi-sweet fruity and citrusy flavor, that combines well with the cumin and garlic extractives, which give off a savory flavor.  The sugar adds to the sweetness as the white vinegar still gives off that classic wing sauce tang and swallow.  This would be excellent on wings obviously, but would also work sprayed onto anything that is being grilled.  I would give this a solid 8.8/10 on flavor. ",8.8,10.0,3.0,10.0
47,,: Lucky Dog Hot Sauce ," This is a extra-hot sauce, but is in no way a killer.  You get the scorpion peppers, and jalapeno peppers, mixing together to give you a warm mouth burn that lingers for a while, along with the slight hit from the ghost pepper sauce.  I would rate this a 6.5/10 on heat.  ",": Onions, Apple Cider Vinegar, Water, Organic Apple Sauce, Jalapeno Peppers, Garlic, Scorpion Peppers, Dried Figs, Sugar, Sea Salt, Ghost Pepper Sea Salt, Lime Juice Concentrate. ",https://www.instagram.com/p/BRoZ4c_F185/,: Black Label (Older Edition): Extra Hot Fire-Roasted Pepper Sauce ,": A thick sauce, as you will get some chunks, But it's almost the perfect consistency for a hot sauce, as it’s not too chunky, but it’s not too thin. ",: www.lucky-dog-hot-sauce.myshopify.com ,": My mouth is watering just from the smell, you instantly pick up the garlic and onions, but then almost instantaneously you get the apples, jalapenos, and scorpion peppers are they give this sweet, fruity smell, along with the figs in the background.  The Vinegar is not noticeable at all, as the apple cider vinegar is a fantastic choice. ",": BAM!  Wow, this is amazing.  I can already promise you this is a 10/10.  Initially you get blasted with the semi-sweet apple sauce, along with the sweetness of the scorpion peppers and jalapeno peppers, but then combined, the figs bring this savory and smoky flavor to the sauce that works fantastic with the rest of the ingredients, as the onion and the butt load of garlic stand out but in no way, kill the flavor of the peppers.  There is the perfect amount of saltiness to the sauce, as its not overly salty, and the apple cider vinegar is not noticeable at all.  This sauce would be fantastic on ANYTHING, especially as a steak sauce on meats.  Again, 10/10. ",10.0,10.0,6.5,10.0
48,,: Butterfly Bakery of Vermont ," This is a jalapeno sauce so you can’t expect much of a heat, but they do use a good amount of seeds which amp up the heat.  I would give this a 2.5/10 on heat. ",": Vermont grown chili peppers (Jalapenos), Organic White Vinegar, Vermont Grown Cilantro, Vermont Grown Onions, Salt. ",https://www.instagram.com/p/BReDscElhYK/,: Cilantro Onion Hot Sauce ,": A smooth and solid pour, as it is not chunky but not a thin liquid.  It’s just a very typical smooth hot sauce.  You can see some strands of ingredients and some jalapeno seeds in the sauce. ",: www.butterflybakeryvt.com ,": A simple smelling sauce, as you can really pick up the three main ingredients vibrantly.  You initially get that tangy and earthy jalapeno smell, but its quickly pushed to the side, and is even with the smell of cilantro and onions as both give off this savory and earthy aroma.  The vinegar is present but is found in the back of the sauce. ",": This is a solid sauce, and it is not your typical green sauce either.  Right out of the get go you get the combination of cilantro, onion, and jalapenos all in the forefront as they deliver this super savory and mouthwatering flavor.  The cilantro gives that little tang and pungent burst, while the jalapenos give an earthy and semi-sweet flavor, as the onion gives that huge big savory note.  The salt and vinegar comes into play as you swallow the sauce, as you will get that vinegar flavor towards the end, but it works well.  This sauce would be great on nearly everything, as it would be a fantastic table sauce.  I would give this sauce a strong 8.5/10 as it’s a great simple sauce. ",8.5,10.0,2.5,10.0
49,,: Homeboy’s Hot Sauce (A Heatonist Exclusive) ," This is a great medium heat level sauce, as you will get a great instant mouth burn that will linger for a while and slightly build from the ghost peppers.  I would give this a 4.5/10 on heat.  Thank you @epellechio the great birthday gift! ",": Pineapple, Chipotle Peppers, Habanero, Carrot, Vinegar, Sugar, Curry Paste, Tomato Paste, Salt, Lime Juice, Dried Ghost Pepper. ",https://www.instagram.com/p/BROnoVwh2Ob/,: Hot Ones Fiery Chipotle ,": A very liquidious sauce, as there are some chunks to the sauce but the sauce itself is a naturally runny sauce as there is no xanthan gum which I give credit to not using, that thickener agent. ",: www.heatonist.com ,": A very light toned smell, as you instantly pick up the pineapple in the forefront, but then you get a smoky and sweet pepper forward smell of the chipotle peppers and habanero, in the background I pick up the tomato and curry as neither is overwhelming, the vinegar is only ever so slightly noticeable. ",": This is very delicious.  This is a strong pineapple forward sauce, as you instantly get the fruity sweetness from the pineapple, habaneros, sugar, and tomatos, but then halfway through the flavor journey you pick up the chipotle peppers, curry, and ghost peppers as they give that savory and smoky flavor you would expect in a chipotle style hot sauce, and then as you swallow the sauce, the pineapple strikes back, along with the tang of lime juice and the vinegar.  This sauce will obviously be phenomenal on wings, but would also be great on Hawaiian pizza or used as a marinade.  Strong 10/10 on flavor. ",10.0,10.0,4.5,10.0
50,,: World Famous Hot Sauce LLC ," Even though there are red habaneros in this sauce, there is not an enough of them to make it an actual real habanero based sauce, as you will get a slight dink of the peppers flavor and heat.  This is a medium level sauce that anybody could enjoy.  I would rate this a 3.5/10 on heat.  ",": Distilled Vinegar, Aged Red Habanero Peppers, Salt, Vegetable Blend (Dried Carrots, Dried Onions, Dried Garlic), Gum Blend.  ",https://www.instagram.com/p/BRJgGqLlZWt/,: L.B.I Love Potion ,": A very liquidous sauce, on the same consistency as a tabasco or franks hot sauce.  No texture at all.  The Gum blend adds a little bit of a thickness to the sauce to make the pour more “saucey” instead of “watery” if that makes sense. ",": www.facebook.com/World-Famous-Hot-Sauce-LLC 
",": The first thing I can smell is the Distilled Vinegar, as I can instantly tell that this is going to be a vinegar based red sauce, but with the use of thee aged habanero peppers, you get that sweetness and that aged pepper smell, I can also pick up the onions and garlic slightly.  Nothing too spectacular or unique.  ",": HOLY VINEGAR AHH!! There is an extremely high level of vinegar in this sauce, which is not a bad thing, if you are into vinegar based Louisiana style hot sauce, as you instantly get the tang and sting from the vinegar, with a touch of sweetness from the red habaneros, along with a slight fruitiness from the peppers.  The carrot is nowhere in the sauce in terms of tasting it, but the garlic and onion kind of lurks in background and in the aftertaste.  This sauce would go well as a wing sauce, or on raw oysters.  I would rate this sauce a 6/10 on flavor as it’s an above average Louisiana style vinegar based hot sauce that does not provide anything unique or gourmet. ",6.0,10.0,3.5,10.0
51,,,,,https://www.instagram.com/p/BQ67Bl3lJ4z/,,,,,,,,,
