desc,mfc,names,price,url
"

Garden State Green showcases the freshest flavors of New Jersey in a traditional verde sauce. Keeping true to their 'seed to bottle' approach, they utilize a variety of their very own Green Super Hot Chiles tamed by the intense flavors of cilantro, lime, and tomatillo.
Heat Level: Hot
Ingredients: ﻿Tomatillos, Jalapeños, white wine vinegar, apple cider vinegar, cilantro, lime juice, onions, sugar, Mixed Green Super Hot peppers, olive oil, garlic & salt.
5 oz
",Jersey Barnfire, Garden State Green    ,$ 7.99,https://heathotsauce.com/collections/all/products/garden-state-green
"

2017 is the Chinese ""Year of the Fire Cock"". In Chinese element theory each zodiac year is associated with one of five elements: Gold, Wood, Water, Fire, or Earth, which means that a Fire Cock comes once every 60-year cycle. Celebrate this Rooster's long awaited return with this fiery sweet chili sauce!
Heat Level: Extra Hot
Ingredients: ﻿Sweet Chile Sauce (Sugar, Water, Red Chiles, Distilled Vinegar, Garlic Salt, Xanthan Gum), Trinidad 7-Pot Chiles, Lime Juice.
5 oz
",CaJohn's, Fire Cock    ,$ 8.99,https://heathotsauce.com/collections/all/products/fire-cock
"
Peachy Green is a blend of farm fresh Serrano and Jalapeno peppers, vine ripened peaches, perfectly blended with honey, vanilla, lemon, lime and pineapple juice. 
Heat Level: Medium
Ingredients: Fresh Serrano and Jalapeno peppers, peaches, bell peppers, vinegar, fresh scallions, honey, lemon, lime & pineapple juices, brown sugar, exotic spices, vanilla & saffron. 
5 oz
",Dirty Dick's, Dick's Peachy Green    ,$ 6.99,https://heathotsauce.com/collections/all/products/dicks-peachy-green
"
This vinegar-free sauce is like Jak Jeckel's Gourmet Pepper Sauce but with an added kick. Habanero, Jalapeno, Chipotle, and Red Bell peppers are the base of this smoky and sweet sauce. 
Heat Level: Mild/Medium
Ingredients: Roasted Red Peppers, Jalapenos, Water, Habanero Peppers, Lime Juice, Paprika, Sea Salt, Chipotle Peppers, Pure Cane Sugar, Orange Peel, Garlic, Citric Acid, Jak Jeckel Seasoning Blend. 
5 oz
",Jak Jeckel, Red Sol    ,$ 7.49,https://heathotsauce.com/collections/all/products/red-sol
"
Red Grams is a butterscotch and raspberry mustard sauce with an irresistible smooth up front flavor and a hint of Caribbean flair. The mellow sweetness of the butterscotch accents the fresh raspberry and still allows for the tanginess of the mustard and the soft tones of our signature jerk seasoning to satisfy your palette.
Heat Level: Mild
Ingredients: Brown mustard, yellow mustard, apple cider vinegar, raspberry preserves, butterscotch, Jalapeño Pepper, Cayenne Pepper, onion puree, salt, Worcestershire, garlic spices & sodium benzoate.
5 oz
",Jak Jeckel, Red Grams Mustard Sauce    ,$ 7.49,https://heathotsauce.com/collections/all/products/red-grams-mustard-sauce
"
This straightforward extra hot sauce is made with Trinidad 7-Pot Chiles. These chiles are from the island country of Trinidad & Tobago, where the hottest of all natural spices originated.
Heat Level: Extra Hot
Ingredients: Trinidad 7-Pot Chiles, Vinegar, Sea Salt.
6.8 oz
",CaJohn's, Trinidad 7-Pot Elixir    ,$ 7.99,https://heathotsauce.com/collections/all/products/trinidad-7-pot-elixir
"
          Two amazing sauces that go perfectly together - the creamy, rich SoCal Hot Avocado Guac Sauce, paired with the umami-filled Tocino de Fuego Fiery Spanish Bacon sauce. Try making the ultimate Bacon-Avocado breakfast sandwich, fiery Bacon-Avocado Jalapeno Poppers, or spread both of these delicious sauces over burgers, tacos, or literally anything that needs some heat and flavor!
         ",Jak Jeckel & SoCal Hot Sauce, Avocado & Bacon Duo    ,$ 14.99,https://heathotsauce.com/collections/all/products/avocado-bacon-two-pack
"




Tocino De Fuego is a fiery spanish bacon sauce, with a rich cilantro intro, which smoothly leads into an intense bacon flavor followed by a hint of toasted fennel, rosemary and generous habanero heat. It has a nice balance of salty and sweet and is rounded out with a hint of dried onion.
Heat Level: Medium
Ingredients: Water, Habanero, Cilantro, Granulated Sugar, Lime Juice, Paprika, Cane Vinegar, Garlic, Salt, Spices, Onion, Habanero, Black Pepper, Sodium Benzoate, Rosemary, Ham Flavor, Citric Acid, Garlic Powder, Fennel Seed. 
5 oz









",Jak Jeckel, Tocino De Fuego    ,$ 7.49,https://heathotsauce.com/collections/all/products/tocino-de-fuego
"
A pleasing parallel to Aura Solanales, this sauce features the tartness of early summer’s fresh picked green Jalapeños.
Heat Level: Medium
Ingredients: Green Jalapeños, Distilled Vinegar, Filtered Water, Sea Salt, Garlic Powder.
5 oz
 
",The Brinery, Verde Solanales    ,$ 7.99,https://heathotsauce.com/collections/all/products/verde-solanales
"
A Louisiana style hot sauce capturing the warmth and flavor of sun ripened hot peppers. Medium hot and will not overpower, but enhance any meal.
Heat Level: Medium
Ingredients: Red Hot Peppers (jalapeño, cayenne, cherry bomb, serrano, fresno), Distilled Vinegar, Filtered Water, Sea Salt, Garlic Powder.
5 oz
An ode to Aura:
“Solar rays to nightshade leaves,
fruiting bodies to pepper mash;
Radiating warmth from star-shine to plate.”
",The Brinery, Aura Solanales    ,$ 7.99,https://heathotsauce.com/collections/all/products/aura-solanales
"
A blend of green jalapenos, shelled hemp seeds and just a hint of garlic. This one's on the mild side and has a unique flavor and creaminess from the addition of the hemp seeds.
Heat Level: Mild
5 oz
",Outer Limits Hot Sauce, Weedeater Jalapeno Hemp Seed Hot Sauce    ,$ 7.99,https://heathotsauce.com/collections/all/products/weedeater-jalapeno-hemp-seed-hot-sauce
"
A blend of serranos and fresh cilantro, as well as a bit of onion and garlic. Great on everything from grilled chicken and burgers to eggs and mexican food! 
Heat Level: Medium
5 oz
",Outer Limits Hot Sauce, Outer Limits Serrano Cilantro    ,$ 7.99,https://heathotsauce.com/collections/all/products/outer-limits-serrano-cilantro
"
A mellow and zesty blend of jalapenos and lime, great on seafood!
Heat Level: Mild
5 oz
",Outer Limits Hot Sauce, Outer Limits Jalapeno Lime    ,$ 7.99,https://heathotsauce.com/collections/all/products/outer-limits-jalapeno-lime
"
A great medium heat everyday sauce.  Just enough Habaneros to showcase their delicious flavor, with Red Jalapenos to mellow out the heat.
Heat Level: Medium
5 oz
",Outer Limits Hot Sauce, Outer Limits Jalapeno Habanero    ,$ 7.99,https://heathotsauce.com/collections/all/products/outer-limits-jalapeno-habanero
"
A delicious habanero-forward sauce, with a subtle garlic background.
Heat Level: Hot
5 oz
",Outer Limits Hot Sauce, Outer Limits Habanero    ,$ 7.99,https://heathotsauce.com/collections/all/products/outer-limits-habanero
"
This is the spiciest flavor made by Outer Limits Hot Sauce, featuring a blend of fresh Ghost Peppers and Roasted Garlic that is loaded with flavor, but certainly not lacking in heat.
Heat Level: Extra Hot
5 oz
",Outer Limits Hot Sauce, Ghost Pepper & Roasted Garlic Hot Sauce    ,$ 7.99,https://heathotsauce.com/collections/all/products/ghost-pepper-roasted-garlic-hot-sauce
"
A complex take on the classic taco-sauce style, made with fire roasted tomatoes, onion, garlic, and a nicely balanced blend of cayenne, pasilla, and ghost peppers, along with plenty of black pepper and a zesty lime finish.
Heat Level: Medium
Ingredients: Fire-Roasted Tomatoes (tomatoes, tomato juice, salt, calcium chloride, citric acid), Apple Cider Vinegar, Water, Lime Juice, Sea Salt, Spices, Dehydrated Onion, Granulated Garlic, Ghost Pepper, Paprika.
8.5 oz
",Lucky Dog Hot Sauce, El Perro Afortunado Taco Sauce    ,$ 9.49,https://heathotsauce.com/collections/all/products/el-perro-afortunado-taco-sauce
"
A concentrated habanero sauce with some serious heat!
Heat Level: Extra Hot
Ingredients: Habanero Peppers, Water, Tomato Paste, Natural Pepper Flavoring, Salt, & Spices.
7.5 oz
",Pain Is Good, Pain 100%    ,$ 6.99,https://heathotsauce.com/collections/all/products/pain-100
"
A habanero sauce blended with chipotle, tomato, orange juice, and extra heat from pepper extract. As seen on Hot Ones! 
Heat Level: Extra Hot
Ingredients: Habaneros (habaneros, salt), Chipotle Puree (chipotles, water, salt, citric acid), Water, Orange Juice Concentrate, Natural Pepper Flavoring, Tomato Paste, Potassium Sorbate and Sodium Benzoate (to preserve freshness).
4 oz
",Da Bomb, Da' Bomb Beyond Insanity    ,$ 7.99,https://heathotsauce.com/collections/all/products/da-bomb-beyond-insanity
"
The original Mad Dog 357, named because it has 357,000 Scoville Heat Units. 
Heat Level: Extra Hot
Ingredients: Vinegar, Chile Extract, Evaporated Cane Juice, Habanero Peppers, 160,000 Scoville Cayenne Peppers, Spices, and Xanthan Gum.
5 oz
",Mad Dog, Mad Dog 357    ,$ 8.99,https://heathotsauce.com/collections/all/products/mad-dog-357
"
Blair's Sudden Death Sauce blends together habanero, cayenne, ginseng and honey and will heat things up in a heartbeat.
Heat Level: Hot
Ingredients: Habanero Peppers, Cayenne Peppers, Vinegar, Salt, Honey, Natural Flavor, Corn Starch, Garlic, Lime Juice Concentrate, Ascorbic Acid (Vitamin C), Ginseng, Spices.
5 oz
",Blair's, Sudden Death    ,$ 9.99,https://heathotsauce.com/collections/all/products/sudden-death
"
A hot sauce so succulent, it should be slathered on everything edible. Feel Alive with Blair's Sweet Death, and savor the sweet heat of habanero, mango, and passion fruit. 
Heat Level: Mild
Ingredients: Vinegar, Corn Syrup, Honey, Mango, Passion Fruit, Sugar Cane, Habanero Pepper, Carrots, Modified Corn Starch, Tomato Paste, Onion, Lemon Juice, Salt, Cayenne Pepper, Ascorbic Acid, All Spice, Garlic, Cloves, and Black Pepper.
5 oz
",Blair's, Sweet Death Sauce    ,$ 7.49,https://heathotsauce.com/collections/all/products/sweet-death-sauce
"
Blair's Sasla De La Muerte is similar to the Original Death Sauce but with 50% more Habanero peppers and 50% more heat. 
Heat Level: Hot
Ingredients: Habaneros Rojos y Anaranjados, Vinagre, Pimienta de Cayena Fresca, Ajo Triturado, Chipotle, Jugo de Lima, Cilantro, Hierbas y Especias Frescas.
5 oz
",Blair's, Salsa De La Muerte    ,$ 7.49,https://heathotsauce.com/collections/all/products/salsa-de-la-muerte
"
Blair's Mega Death Sauce contains ingredients 650 times hotter than a jalapeño pepper. This sauce is mercilessly hot and should be used with caution.  
Heat Level: Extreme
Ingredients: Habanero Peppers, Cayenne Peppers, Vinegar, Salt, Natural Flavor, Molasses, Guava Puree, Ginger, Corn Starch, Garlic, Chipotle Peppers, Onion, Ascorbic Acid (Vitamin C), Spices.
5 oz
",Blair's, Mega Death Sauce    ,$ 11.49,https://heathotsauce.com/collections/all/products/mega-death-sauce
"
 This is the first Death Sauce ever made. It's made from the unmistakable mix of habanero, cayenne, and chipotle. Try on wings or in a Bloody Mary.
Heat Level: Hot
Ingredients: Red and Orange Habaneros, Vinegar, Fresh Cayenne, Smashed Garlic, Chipotle, Lime Juice, Cilantro, Fresh Herbs and Spices.
5 oz
",Blair's, Original Death Sauce    ,$ 7.99,https://heathotsauce.com/collections/all/products/original-death-sauce
"
Blair's After Death Sauce is an extremely spicy, tongue-tempting hot sauce made with Habanero, Cayenne, Chipotle, and pepper extract. 
Heat Level: Extreme
Ingredients: Red and Orange Habaneros, Vinegar, Fresh Cayenne, Smashed Garlic, Chipotle, Pepper Extract, Lime Juice, Cilantro, Fresh Herbs and Spices.
5 oz
",Blair's, After Death Sauce    ,$ 7.99,https://heathotsauce.com/collections/all/products/after-death-sauce
"
This sauce is dangerously addictive. The sweet tang of pineapple and the heat of the Habanero pepper works well with everything from smoked pulled pork sliders & tuna salad sandwiches, to a 5 star meal of fresh grilled fish. 
Heat Level: Hot
Ingredients: ﻿Pineapple, Pineapple Juice, Apple Cider Vinegar, Pineapple Juice Concentrate, Habanero Powder, Sea Salt, Garlic Powder. 
5.6 oz
",Adoboloco, Adoboloco Pineapple Habanero    ,$ 9.99,https://heathotsauce.com/collections/all/products/adoboloco-pineapple-habanero
"
The first thing you’ll taste is the perfect sweet flavor of a ripe mango, then the balance of Habanero heat and flavor. Adoboloco mango hot sauce is perfectly paired with pizza, hot sticky rice, pork chops, smoked pulled pork sliders, braised beef tacos or pretty much any taco for that matter.
Heat Level: Hot
Ingredients: Mango, rice vinegar, garlic, sea salt, habanero peppers.
5.6 oz
",Adoboloco, Mangoes! Bumbye!    ,$ 9.99,https://heathotsauce.com/collections/all/products/mangoes-bumbye
"
Like Pittsburghers, Pittsburgh Style Hot Sauce delivers a bold in your face taste that won't quit! The distinctive taste and heat level is achieved by blending a selection of the world's hottest fermented peppers. 
Heat Level: Extra Hot
Ingredients: ﻿Fermented super hot pepper mash (ghosts, scorpions, 7 pots, primos, carolina reapers), rice vinegar, turbinado sugar, fresh garlic, meyer lemon juice, pink himalayan salt and other spices. 
5 oz
",Allegheny City Farms, Pittsburgh Style Hot Sauce    ,$ 6.99,https://heathotsauce.com/collections/all/products/pittsburgh-style
"
Like Pittsburghers, Pittsburgh Style Hot Sauce delivers a bold in your face taste that won't quit! The distinctive taste and heat level is achieved by blending a selection of the world's hottest fresh peppers. Get the Harvest Edition while supplies last!
Heat Level: Extra Hot
Ingredients: ﻿Fresh super hot pepper mash (ghosts, scorpions, 7 pots, primos, carolina reapers), rice vinegar, turbinado sugar, fresh garlic, meyer lemon juice, pink himalayan salt and other spices. 
5 oz
",Allegheny City Farms, Pittsburgh Style Hot Sauce (Harvest Edition)    ,$ 8.99,https://heathotsauce.com/collections/all/products/pittsburgh-style-hot-sauce-harvest-edition
"
Created exclusively for the Creole Nouvelle restaurant Roux in Tampa, FL, their Louisiana-Style Red Hot Sauce captures the traditions of Cajun Country and the spirit of its cuisine. Simple, fresh-tasting and versatile, this medium-heat condiment provides flavorful finishing touches and spicy punch to gumbos, Po’ boys, red beans and rice and more.
Heat Level: Medium
Ingredients: Vinegar, Red Jalapeño Peppers, Roasted Red Peppers, cane sugar, garlic & sea salt.
5 oz
",Roux, Roux Louisiana Style    ,$ 5.99,https://heathotsauce.com/collections/all/products/roux-louisiana-style
"
This bold, sweet and spicy sauce combines an exotic blend of habanero peppers, tropical fruits and ground spices. 
Heat Level: Medium
Ingredients: Habanero peppers, mangoes, pineapple, vinegar, bananas, tomatoes, brown sugar, raisins, onion, garlic, salt & spices. 
5 oz
",Dirty Dick's, Dirty Dick's Hot Sauce    ,$ 6.99,https://heathotsauce.com/collections/all/products/dirty-dicks-hot-sauce
"
 This six time international award winner, has a mild jalapeno heat with a tart bite. Use this sauce on seafood, pork, chicken, carne asada, fish tacos, pasta salad and more! 
Heat Level: Mild
Ingredients: White Wine Vinegar, Jalapeno Peppers, Water, Green Chile Peppers, Shallots, Horseradish, Bell Pepper, Garlic, Cilantro, Lime Juice, Apple Essence, Lime Zest, Spices.
5 oz
",Race City Sauce Works, Jalapeno-Sour Apple Pepper Sauce    ,$ 7.50,https://heathotsauce.com/collections/all/products/jalapeno-sour-apple-pepper-sauce
"
Fresh roasted jalapenos, tangy ground mustard and just a hint of aromatic cilantro, blended with a smooth bite of silver tequila, creates a bright and flavorful mustard that tastes great on anything from beef to veggies. 
Heat Level: Mild
Ingredients: Jalapeno Peppers, Prepared Mustard, Water, Cilantro, Tequila, Lime Juice, Mustard Powder, Shallots, Garlic, Apple Cider Vinegar, Brown Sugar, Onion, Turmeric, Paprika.
5 oz
",Race City Sauce Works, Jalapeno-Tequila Mustard Sauce    ,$ 7.50,https://heathotsauce.com/collections/all/products/jalapeno-tequila-mustard-sauce
"
Deadwood Taco sauce is also great on burgers, meatloaf, roasts enchiladas and more. The flavor of the roasted garlic and chiles with dark toasted spices make for the perfect compliment to your everyday foods. 
Heat Level: Hot
Ingredients: Jalapeno Puree, Smoked Habanero Puree, Water, Roasted Garlic, Smoked 7 Pot Chile, Chipotle Chile, Mexican Chocolate, Coffee, Smoked Cinnamon, Spices, Lime Zest, Herbs, Smoked Hawaiian Sea Salt, Olive Oil.
5 oz
",Race City Sauce Works, Deadwood Taco Sauce    ,$ 7.50,https://heathotsauce.com/collections/all/products/deadwood-taco-sauce
"
Carolina Cayenne was created in the spirit of the classic Southern style pepper sauces but without salt which allows the pure flavors of the cayenne peppers and roasted garlic to really shine.  
Heat Level: Mild
Ingredients: Cayenne Peppers, Cider Vinegar, White Vinegar, Roasted Black Pepper, Roasted Garlic, Spices.
5 oz
",Race City Sauce Works, Carolina Cayenne Pepper Sauce    ,$ 7.50,https://heathotsauce.com/collections/all/products/carolina-cayenne-pepper-sauce
"
Not like your traditional 'Rooster' style sauce that you’ve known for years, this sauce combines Kaffir lime, Thai basil, and seven chiles from sweet and mild to downright fiery, giving this sriracha a truly remarkable rich flavor that sets it apart.
Heat Level: Extra Hot
Ingredients: Proprietary blend of chiles, distilled vinegar, garlic, lemongrass, shallots, ginger, fish sauce (anchovy filet, sugar, salt) spices, herbs. 
5 oz
",Race City Sauce Works, Seven Pepper Sriracha    ,$ 7.50,https://heathotsauce.com/collections/all/products/seven-pepper-sriracha
"
This award winning sauce was made in the traditional Southern style with aged cider vinegar, Ghost and Habanero chiles, roasted and cracked black peppercorns, and sweet roasted garlic. 
Heat Level: ﻿Extra Hot
Ingredients: Bhut Jolokia, Cider Vinegar, White Vinegar, Ground Red Chile, Red Savina Chile, Chocolate Habanero, Fatalii Chile, Roasted Garlic, Lemon Zest, Pasilla Chile, Onion, Spices, Lemon Juice, Sea Salt. 
5 oz
",Race City Sauce Works, 98 Octane Ghost Pepper Reserve    ,$ 7.50,https://heathotsauce.com/collections/all/products/98-octane-ghost-pepper-reserve
"
Bill Moore's Garlic Lovers set has 4 delicious sauces that not only contain garlic, but focus on it as a main ingredient.

Bigfat's 3o8 Garlic Ginger
Ground for Divorce XXX
SeaFire Gourmet Garlic Habanero
Jersey Barnfire Black Garlic

FREE SHIPPING!
Check out Bill Moore's YouTube channel, plus his other curated gift sets, Bill Moore's Favorites and Bill Moore's Super Hot 4-Pack.
",Heat Hot Sauce Shop, Bill Moore's Garlic Lovers Gift Set    ,$ 36.99,https://heathotsauce.com/collections/all/products/bill-moores-garlic-lovers-gift-set
"
A unique and flavorful update on the original Spooky White, but made with chocolate habaneros and a bit of real cacao, along with mustard, ginger, garlic, onions and infused habanero vinegar. 
Heat Level: Hot (the hottest of the Frankie V line).
5 oz
",Frankie V's, Chocolate Spooky Hot Sauce    ,$ 5.99,https://heathotsauce.com/collections/all/products/chocolate-spooky-hot-sauce
"
A mellow and flavorful mustard made with Smoked Vermont Maple Syrup, this stuff is delicious on burgers and hot dogs or as a dip for pretzels. 
Heat Level: Mild
Ingredients: Prepared Yellow Mustard (Distilled Vinegar, #1 Mustard Seed, Salt, Turmeric, and Spices), Smoked Vermont Maple Syrup, Granulated Garlic, Smoked Habanero Powder, and Smoked Paprika.
8 oz
",Angry Goat Pepper Co., Smoked Maple Habanero Mustard    ,$ 6.99,https://heathotsauce.com/collections/all/products/smoked-maple-habanero-mustard
"
Demon Reaper is a serious Carolina Reaper sauce, with a searing heat balanced out with roasted sweet potato and sweet onion. A great savory sauce for mexican food, pasta, and according to the label, corpses.
Heat Level: Extra Hot
Ingredients: Apple Cider Vinegar, Carolina Reaper Peppers, Fresno Peppers, Tomato Paste, Roasted Sweet Potato, Red Bell Peppers, Roasted Sweet Onions, Granulated Garlic, Sea Salt, Black Pepper, Cumin, Olive Oil.
5 oz
",Angry Goat Pepper Co., Demon Reaper    ,$ 10.99,https://heathotsauce.com/collections/all/products/demon-reaper
"
A flavorful blend of tropical fruits like pineapple, mango, and lime, along with Jamaican Scotch Bonnet peppers and mustard. Some allspice and carrots round out this sauce, which is perfect for jerk chicken or fish tacos 
Heat Level: Mild (Medium if you have a low tolerance).
Ingredients: Pineapple, Mango, Jamaican Scotch Bonnet, Lime Juice, Distilled Vinegar, Prepared Yellow Mustard (Distilled Vinegar, #1 Mustard Seed, Salt, Turmeric, & Spices), Carrots, Yellow Bell Peppers, Cane Sugar, Sea Salt, Granulated Garlic, Allspice.
6.8 oz
",Angry Goat Pepper Co., Dreams of Calypso    ,$ 7.99,https://heathotsauce.com/collections/all/products/dreams-of-calypso
"

A fiery, garlicky blend of Scorpion and Arbol chilis, this is the ultra hot sauce you’ve been waiting for. Go big or go home.

Heat Level: Extra Hot
Ingredients: White Wine Vinegar, Scorpion Peppers, Arbol Chilis,  Garlic, and Sea Salt.
 
5 oz
",Bravado Spice Co., Crimson Special Reserve Sauce    ,$ 7.99,https://heathotsauce.com/collections/all/products/crimson-special-reserve-sauce
"
A 2017 Special Edition made by Sebastian Rojas of Chipotlan Hot Sauce and Bill Moore of ""Bill Moore's Hot & Spicy Reviews"". Made with the seriously hot 7-Pot Primo that packs an almost 1.5 million Scoville Heat Units.
Heat Level: Extreme
Ingredients: 7-Pot Primo Pepper, Chili Hot Pepper, Arbor Chili Pods, Tomato, Garlic, Onions, Cilantro, Olive Oil, Salt, Water, Seasoning, Vinegar.
5.2 oz
",Chipotlan Hot Sauce, Pa' Su Madre 7-Pot Primo Hot Sauce    ,$ 9.99,https://heathotsauce.com/collections/all/products/pa-su-madre-7-pot-primo-hot-sauce
"
A fresh and flavorful Mexican-style green Jalapeno sauce made with cilantro, onions, and cumin. Check out Bill Moore's video review here.
Heat Level: Mild
Ingredients: Jalapeno Pepper, Onions, Tomato, Garlic, Arbol Chili Pepper, Cilantro, Olive Oil, Cumin, Seasoning, Salt, Vinegar, Water.
5.2 oz
",Chipotlan Hot Sauce, Don Chingon Jalapeno Hot Sauce    ,$ 6.99,https://heathotsauce.com/collections/all/products/don-chingon-jalapeno-hot-sauce
"
A fresh and flavorful Mexican-style chile de arbol hot sauce, with tomato, carrot, and ginger. Check out Bill Moore's video review here.
Heat Level: Medium
Ingredients: Chile Guajillo, Tomato, Olive Oil, Cilantro, Arbol Chile, Salt, Onions, Cumin, Garlic, Habanero Pepper, Vinegar.
5.2 oz
",Chipotlan Hot Sauce, Pa' Su Madre Guajillo Chile Sauce    ,$ 6.99,https://heathotsauce.com/collections/all/products/don-chingon-guajillo-chile-sauce
"
A fresh and flavorful Mexican-style chile de arbol hot sauce, with tomato, carrot, and ginger. Check out Bill Moore's video review here.
Heat Level: Medium
Ingredients: Arbol Chile (dry), Tomato, Carrot, Ginger, Cilantro, Onions, Garlic, Cumin, Olive Oil, Salt, Vinegar.
5.2 oz
",Chipotlan Hot Sauce, Don Chingon Arbol Chile Sauce    ,$ 6.99,https://heathotsauce.com/collections/all/products/don-chingon-arbol-chile-sauce
"
A fresh and flavorful Mexican-style habanero hot sauce, with garlic, cilantro, and tomato. Check out Bill Moore's video review here.
Heat Level: Hot
Ingredients: Habanero Pepper, Chili Hot Pepper, Arbor Chili Pods, Tomato, Garlic, Cilantro, Olive Oil, Salt, Water, Seasoning, Vinegar.
5.2 oz
",Chipotlan Hot Sauce, Pa' Su Madre Original Habanero    ,$ 6.99,https://heathotsauce.com/collections/all/products/pa-su-madre-original-habanero
"
This Sriracha style has plenty of garlic, with an extra kick from 7-pot peppers. Perfect addition to anything ranging from seafood, pork and chicken to Asian or Italian cuisine. 
Heat Level: Hot/Extra Hot (depending on your tolerance).
Ingredients: Water, Distilled White Vinegar, Onions, Fresno Peppers, Tomato Paste (vine ripened tomatoes), Garlic, Rice Vinegar, Granulated Sugar, Garlic Powder, 7-Pot Pepper, Tamari, Cayenne Pepper, Olive Oil, Salt, Kosher, Pepper, Bhut Jolokia, Citric Acid. Contains: Soy.
5 oz
",Red Hawk Premium Peppers, Holy Alimony    ,$ 8.99,https://heathotsauce.com/collections/all/products/holy-alimony
